Size,Average,STD Deviation
10,448895324.240306,199680654.23487476
30,853714696.2915936,520454807.7471625
50,3535207354.1257133,1028936781.896645
70,6607118502.901549,838345734.8252769
100,12002231638.310719,1070482269.384931
200,33823280760.8572,3999954780.705063
300,43097613799.84592,5982651100.350624
