Size,Average,STD Deviation
10,5434353.93014393,290480.0178058227
30,4068602.463943162,940352.8524733055
50,4786107.118994775,700476.1857268907
70,5000378.726813882,392587.72368377267
100,5412724.609929265,216758.64021602488
200,5762615.485001766,65592.49539556887
300,5773940.577505058,43663.25736079625
