Size,Average,STD Deviation
10,14562720.337579902,505449.68660856166
30,10617244.684546573,1795769.0988772784
50,11423740.81140613,1154586.7665129504
70,12793074.771623421,579998.7282868832
100,12808460.47791402,512742.7416929041
200,13257372.206015829,128837.79397555439
300,13454059.671457227,140323.38090817753
