Size,Average,STD Deviation
10,68788193.96991779,13261010.96947375
30,522005268.2474717,105056822.49113382
50,1596589271.758318,274762409.0844097
70,1191188396.472247,307280866.01065975
100,3672951590.8284316,1248154654.4970908
200,12109746554.221785,2869515091.1576395
