Size,Average,STD Deviation
10,4433293.05517556,810772.7884306881
30,3969230.268966154,279749.6937851836
50,4007914.650972487,112582.1508589455
70,3895012.565828697,50579.93660803231
100,4989033.418561151,1065092.825133836
200,5955141.601417076,95305.5148603276
