Size,Average,STD Deviation
10,71182392.29125704,18838015.013976324
30,648072727.0745418,219876468.13266295
50,1942130925.1778064,433207311.99666375
70,1479567249.7717214,307991964.11391556
100,3651874125.3977003,840794903.8088436
200,13493427143.107882,2604732791.2556286
