Size,Average,STD Deviation
10,3.099999739788473e-05,1.0202254573548673e-05
30,0.00010763999889604748,2.0995629377329595e-05
50,0.00016164000262506307,2.9905256500306152e-05
70,0.00063411999726668,0.0002485182665650969
100,0.0006427900021662936,0.0003292350915959667
200,0.0014030099962837994,0.00035322421752321387
