Size,Average,STD Deviation
10,10537020.999059876,214523.52619776363
30,11338636.327448683,1662367.1495789436
50,11880957.867295802,822998.1957479039
70,12225823.878446858,418214.36797336466
100,16034192.669670478,3731509.0425731987
200,19140325.63606719,622192.5912053317
