Size,Average,STD Deviation
10,34149699.05047969,1913181.1403278126
30,39626076.13387106,305748.2319218913
50,40364012.605825394,393414.92961589
70,40330278.916029856,513367.98222432437
100,39733372.06344824,2725713.3277311376
200,39084296.79828368,480233.7540120222
300,37856214.22497831,290976.99934194976
500,35910935.42412802,436105.62388123054
700,35706049.0359603,212056.21310639958
1000,31113670.857791502,1996830.5296471762
