Size,Average,STD Deviation
10,557224795.2551006,182906945.03686452
30,4509593549.4005995,1105412205.2804267
50,8172952823.144908,933423984.303037
70,11405503580.622616,1238401436.9615529
100,15410880657.275732,713687040.3979272
200,29331386585.20388,1244806367.321793
300,51376077660.63584,938533921.3667185
500,63518178574.63053,732969502.8789114
700,85495595972.42606,2143976725.0766165
1000,110709714841.00644,7857278766.026271
