Size,Average,STD Deviation
10,16005439.26049695,351519.5593994117
30,14540787.149403075,236916.8588980712
50,14264174.813179716,406531.5583407083
70,14392919.270860875,402747.6562373524
100,14511303.64680416,541957.0711890956
200,15306081.713017996,191848.80951767036
300,15224346.929519143,215212.6282149407
500,15308075.315300409,60573.25338963327
700,15301442.58631816,79910.9495581364
1000,14746032.763352623,703537.9711566289
