Size,Average,STD Deviation
10,5670076.810006596,186164.63139038454
30,5876655.460953021,33020.03822713469
50,5870397.92896858,37222.67005101608
70,5840774.515011158,37776.327714866544
100,5887460.909614581,33240.5772304612
200,5915861.811297168,20600.42560948172
300,5897968.608226303,25032.319415718455
500,5878138.936675388,10152.436926407712
700,5858534.232226188,39156.05156205753
1000,5740005.58583126,143859.8866148456
